Timestamp,Gender,Current Level of Studies,Type of Institution,What is your preferred study method ?,How many hours do you study per day?,How many hours do you study per day during examination period?  ,Do you organise your time ?,Do you have a reading plan before exams?  ,Do you take notes in class?  ,Do you attend group study sessions with classmates?  ,How many hours of lectures do you skip per week? ,Do you use internet resources to improve academic performance?  ,What is your current CGPA ?,Number of subjects enrolled previous semester ?,Average carry mark / coursework (%) in previous semester,"On average, how many hours per day do you spend on social media instead of studying?  ",How often does social media distract you from studying?  ,Do you feel that physical exercise or sports affects your available study time?  ,What do you think is your biggest challenge when it comes to managing your study time?
3/14/2026 22:38:08,Female,Bachelor's Degree,Public University,Past year papers,3–4 hours,5–7 hours,Yes,No,Yes,Yes,None (I attend all lectures),Yes,3.50 – 4.00,7 or more subjects,80-100%,3–4 hours,Often,Always,Distracted by phone
3/14/2026 22:46:59,Female,Bachelor's Degree,Private University,Self-study,1–2 hours,5–7 hours,No,Yes,Yes,Yes,None (I attend all lectures),Yes,3.00 – 3.49,3 – 4 subjects,60–69%,3–4 hours,Often,Never,It's hard to focus when the subject required a lot of reading.
3/14/2026 22:50:18,Female,Bachelor's Degree,Public University,Group study,1–2 hours,5–7 hours,Yes,No,Yes,Yes,None (I attend all lectures),Yes,3.00 – 3.49,7 or more subjects,70–79%,1–2 hours,Often,Never,social media
3/14/2026 22:51:30,Male,Bachelor's Degree,Private University,Self-study,Less than 1 hour,5–7 hours,Yes,Yes,Yes,No,None (I attend all lectures),Yes,3.50 – 4.00,1 – 2 subjects,50–69%,3–4 hours,Often,Always,.
3/14/2026 22:58:26,Male,Bachelor's Degree,Public University,Past year papers,1–2 hours,8 hours or more,No,Yes,Yes,Yes,3–4 hours,Yes,3.50 – 4.00,7 or more subjects,60–69%,5 hours or more,Often,Sometimes,Always trying to fit unimportant plans such as hangouts or travels although I have no one to hangout with and have no money to go anywhere :D
3/14/2026 23:09:23,Female,Bachelor's Degree,Public University,Self-study,1–2 hours,2–4 hours,Yes,Yes,Yes,Yes,None (I attend all lectures),Yes,3.00 – 3.49,5 – 6 subjects,70–79%,1–2 hours,Sometimes,Never,The challenge is how I maintain to stay discipline on study
3/14/2026 23:10:22,Female,Diploma,Private University,Self-study,3–4 hours,2–4 hours,Yes,Yes,Yes,No,None (I attend all lectures),Yes,3.00 – 3.49,3 – 4 subjects,60–69%,1–2 hours,Sometimes,Sometimes,Sleeping because I will literally over slept
3/14/2026 23:21:50,Female,Bachelor's Degree,Public University,Self-study,3–4 hours,2–4 hours,Yes,Yes,Yes,Yes,None (I attend all lectures),Yes,3.00 – 3.49,7 or more subjects,50–69%,Less than 1 hour,Sometimes,Never,To overcome my laziness
3/14/2026 23:25:15,Male,Bachelor's Degree,Public University,Self-study,1–2 hours,2–4 hours,Yes,Yes,Yes,Yes,None (I attend all lectures),Yes,3.50 – 4.00,5 – 6 subjects,80-100%,1–2 hours,Sometimes,Sometimes,Didnt plan the time well. For example not following the planned schedule. 
3/14/2026 23:27:27,Male,Diploma,Public University,Past year papers,Less than 1 hour,5–7 hours,No,No,Yes,Yes,None (I attend all lectures),Yes,3.00 – 3.49,5 – 6 subjects,Below 40%,3–4 hours,Always,Sometimes,sacrifice time
